,ID,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
48,49,1542.01,-357.044,-493.602,1080.8,-412.541,-242.057,1479.06,910.837,2984.74,-2307.13,106.786,3721.92,1820.05,774.487,699.817,2011.68,2701.86,354.443,1872.01,2293.49,2042.0,1255.31,2001.22,644.6,825.991,1875.09,-947.667
49,50,1476.6,-26.3853,-897.821,978.672,523.56,499.656,862.585,-1609.15,1441.64,1535.65,486.228,1518.92,1386.96,50.9879,489.364,1529.64,2095.71,688.448,1205.89,804.483,-592.695,1978.92,688.385,563.658,123.525,1228.89,-1914.34
50,51,6158.54,3198.6,3431.02,2868.64,2961.52,3186.14,3280.01,2906.8,4492.88,5144.91,2069.68,5708.65,5896.17,3686.8,1399.86,774.755,2642.66,4696.9,3353.9,2905.9,1607.63,2183.34,2122.65,2944.64,3281.3,2741.98,1156.08
51,52,1385.09,238.791,-606.823,-627.229,493.999,-1017.91,433.059,1769.5,1285.57,1576.53,388.397,1381.93,971.997,71.6211,482.225,1751.28,3328.02,2801.74,2692.01,1383.19,292.563,533.372,1082.99,333.147,1514.45,1197.98,2330.25
52,53,1443.5,3263.7,3396.76,131.534,509.33,497.327,322.914,-35.782,1531.03,578.422,1009.93,1856.12,1487.43,1245.97,1224.82,1536.48,1751.09,250.336,2113.02,905.822,1115.66,508.205,992.596,661.637,1053.31,3247.51,469.868
53,54,996.31,826.08,185.235,-1242.42,502.515,427.11,-615.089,-2019.47,539.683,360.741,667.986,1505.54,1443.01,62.9516,1035.01,1605.94,1637.15,30.4363,450.614,1535.3,-1295.89,-1046.61,479.832,710.247,-111.96,887.672,-2457.67
54,55,1724.99,185.362,-244.0,-118.765,617.134,489.774,-834.213,-1606.58,136.272,1476.87,1382.91,2113.51,1719.82,-48.5528,1525.61,1548.91,1823.53,262.059,1151.85,-459.132,861.239,-178.843,403.663,552.451,1393.24,2059.84,-2210.0
55,56,2643.2,1741.36,775.466,752.542,474.374,362.641,-876.712,1864.31,1466.51,1081.01,920.339,2181.04,1562.61,57.5767,1445.72,1680.09,2688.04,2329.85,1071.36,347.474,791.431,466.528,400.164,588.298,1639.99,776.434,-287.799
56,57,3002.4,2312.4,287.949,1449.24,1619.93,236.303,2493.49,1308.78,796.337,2756.45,3845.9,4462.44,4128.07,2993.94,4013.79,3360.88,2059.39,3765.57,2489.04,2564.61,910.605,437.821,925.851,522.397,3081.02,2803.09,1438.69
57,58,1003.69,-43.7502,-424.08,-120.676,548.93,610.057,872.325,-1130.15,-2582.93,-359.832,898.061,1510.13,1509.87,251.634,1013.73,1407.85,2262.1,1587.38,1605.37,-505.428,790.405,1104.58,688.138,534.573,1904.42,1772.89,-2571.73
58,59,2856.82,1216.6,1928.15,2437.91,410.029,551.851,1308.86,2435.05,1598.22,1219.41,482.067,2405.83,1407.41,16.2538,874.284,1517.65,2316.56,2099.55,2254.34,2830.65,2738.51,1428.57,743.579,493.012,1457.96,1836.69,1741.47
59,60,2961.92,2964.0,2206.27,2345.65,467.263,484.434,1159.37,2787.79,928.598,2080.84,547.133,2898.19,1627.34,-2.76249,1096.97,1549.38,3124.69,1885.96,3049.4,2477.64,1934.51,2133.33,633.864,509.516,1486.63,1913.8,2331.32
60,61,1433.99,82.7086,-618.263,-656.934,440.601,-681.293,437.835,-1875.24,595.13,1090.2,421.57,1115.42,1485.98,75.3806,441.029,1678.11,1724.56,1956.97,211.527,-1736.49,-1144.38,552.022,904.432,493.462,248.366,-367.405,-2243.31
61,62,4361.65,585.509,296.247,2275.48,5833.69,6187.35,4731.09,494.815,6276.78,3434.0,369.378,607.592,658.491,673.245,2756.34,607.891,620.194,6902.76,4913.87,6166.59,364.449,316.623,348.108,171.598,6085.3,2427.78,359.507
62,63,2038.97,1443.19,456.271,1093.59,411.375,387.577,802.954,598.504,1466.61,190.944,810.025,1691.43,964.101,67.9775,1073.27,1685.58,2722.36,1805.63,1654.96,1732.15,384.517,662.877,935.011,593.465,912.698,1256.68,739.844
63,64,1079.47,62.713,-658.989,-117.459,431.606,475.693,-1177.94,-1979.97,-289.912,735.053,654.486,1531.25,1485.33,17.0019,-232.099,1537.1,1558.52,-232.36,1518.35,-410.902,373.801,-392.005,529.825,571.142,1390.78,1035.59,-2728.19
64,65,1090.91,60.7501,-345.864,-199.733,486.387,505.118,845.147,-1663.76,820.179,1930.24,521.329,3081.88,1896.47,140.955,1639.85,1516.3,2228.42,520.95,2307.25,-149.398,665.479,-466.61,721.786,534.077,2627.01,1922.3,-2351.7
65,66,5451.09,4570.99,5375.12,1471.13,373.98,1114.85,1100.26,5655.5,1060.57,1408.18,528.681,2035.59,1818.47,129.32,413.453,1591.62,4706.75,4158.53,2530.58,554.793,4156.92,2108.16,717.323,471.065,4473.71,1985.16,4695.2
66,67,1723.87,1509.96,399.932,294.246,452.051,4.53904,1411.72,-589.978,1678.8,984.404,602.77,1380.32,1692.89,225.462,469.328,1948.59,2403.11,2972.2,1188.89,2357.8,845.302,797.395,1448.32,356.408,1944.27,944.185,-561.171
67,68,2458.06,522.464,2099.74,-1986.22,432.957,-778.046,1447.67,-1027.42,1903.24,1022.73,881.022,1328.33,1602.93,110.232,456.22,1663.59,2822.47,2326.13,2175.73,-704.479,-85.1326,630.788,1694.23,433.81,1948.0,-705.45,-557.677
68,69,816.565,-3.80767,-627.462,-1266.73,486.018,1163.53,1136.97,-2624.64,-3191.75,476.191,416.694,1814.71,874.091,879.673,895.774,877.686,1073.02,-147.241,370.623,-157.507,-776.686,863.304,362.597,560.479,-2363.83,1159.64,998.663
69,70,5614.13,4563.39,5595.63,5748.86,1018.94,4652.31,4530.62,682.469,5149.34,4959.41,4036.88,3577.01,4325.07,1004.39,958.462,2026.34,3091.98,6040.45,3096.37,4167.64,2563.99,1019.66,3218.08,2316.98,3820.7,4448.2,4320.12
70,71,1920.16,754.871,-641.58,750.837,238.636,477.058,349.164,-1359.94,2419.3,3075.44,828.948,2945.96,2106.79,101.292,427.716,1915.05,2467.66,1850.7,1000.92,-178.821,594.231,1486.2,1177.42,326.012,3130.64,640.553,3569.94
71,72,5526.79,5775.56,5969.21,875.997,448.14,495.438,706.677,3342.86,1381.88,2630.9,514.736,1223.19,2628.71,44.5521,615.929,1576.15,4569.5,5991.28,3416.84,1559.42,5503.15,4367.6,467.341,548.399,5329.16,3638.27,5760.89
72,73,2018.46,527.461,95.1567,247.093,805.705,332.805,1378.91,569.196,3501.74,-782.226,715.019,3115.45,1930.73,992.77,786.789,2005.92,2665.7,1290.84,2441.06,-524.357,1138.6,1349.0,816.49,2844.27,1889.47,2562.07,-587.703
73,74,1171.08,-111.497,593.22,-821.686,-463.782,-77.5706,-257.642,2090.3,3087.23,-2929.52,-133.333,3505.66,2133.53,794.776,839.629,1988.15,2669.13,528.727,720.427,2459.42,2932.46,1553.33,968.962,578.1,662.531,2753.88,-1120.99
74,75,1509.38,132.436,-272.818,-265.073,378.205,-549.731,478.485,-1951.93,975.088,1011.66,346.051,1136.54,1428.21,81.7896,519.581,1508.07,1774.3,336.483,213.127,-1532.35,-1029.71,478.341,729.344,513.355,161.414,-1454.55,-1552.32
75,76,4313.52,3662.84,3356.08,3347.77,504.702,4937.04,429.51,5041.35,2110.08,562.994,388.524,2447.54,1722.36,149.623,436.927,1740.34,4272.55,3844.46,3463.61,3558.82,1940.67,496.683,853.356,316.32,4588.99,1097.88,3687.11
76,77,3121.31,2272.84,1551.72,1523.22,445.766,414.51,2135.65,3233.53,1942.35,1981.19,937.049,2969.25,1730.52,37.4985,995.538,1406.01,1849.94,3651.37,1673.83,2378.22,2243.59,3167.25,475.722,523.072,1742.38,2158.86,3272.04
77,78,7146.15,6806.52,7642.31,7364.43,458.89,7276.7,480.507,4799.65,2308.47,458.765,413.826,2427.59,1824.08,86.4189,588.887,1676.44,5394.62,5607.75,6418.0,7025.01,3596.27,457.373,1320.03,317.278,6009.46,1124.59,4877.38
78,79,1585.31,2891.64,756.563,2978.58,3215.56,5033.86,5049.72,5520.14,5285.59,6156.19,411.551,6423.92,5215.43,5737.36,5438.11,470.715,1583.78,521.13,4246.5,2057.0,1579.4,763.285,683.031,585.142,5754.63,828.631,399.562
79,80,1351.04,-124.133,948.167,2612.16,252.564,-1019.94,545.454,-1599.48,838.317,391.845,573.192,1530.64,1317.94,111.006,388.127,1554.95,1862.84,1908.62,241.102,794.31,-796.303,1375.35,690.115,453.474,1681.6,1011.24,-1860.94
80,81,2046.9,2020.76,-228.219,1639.3,444.288,-648.601,562.354,-1536.51,13.216,1229.41,402.649,1770.74,1727.3,146.374,785.986,1650.77,2190.07,759.558,537.509,1854.69,8.7135,478.564,1068.03,383.512,1461.21,-627.187,-128.901
81,82,1054.56,168.731,-55.258,568.954,437.32,728.073,-293.557,-2068.5,1454.27,2458.4,475.942,2264.46,1161.15,95.5528,1359.84,1703.05,3046.44,2806.76,446.086,876.419,882.378,1423.03,578.112,603.851,1513.87,1956.14,-1703.41
82,83,2437.39,1467.41,1298.85,2667.75,414.323,519.32,1141.21,2925.88,1456.97,2954.51,496.459,2711.29,1209.31,-0.93657,1085.45,1591.82,2741.24,2667.05,3182.76,1755.26,2436.67,2660.35,781.283,445.64,1855.16,2799.72,2206.39
83,84,1147.2,105.224,-255.261,-1532.96,442.727,448.083,627.47,-1542.75,545.299,-102.484,551.431,1265.63,1390.41,62.2629,777.945,1704.48,1568.65,-315.969,-118.403,-1561.7,-1496.69,289.553,478.959,601.836,507.172,284.861,-2713.79
84,85,1759.18,434.181,498.611,1530.19,345.02,779.541,636.767,-1372.78,763.042,1071.4,548.827,1613.12,1827.45,107.426,415.629,1459.93,2423.39,1258.46,1829.48,616.041,943.242,1726.39,648.659,470.747,-23.9692,492.62,-1214.45
85,86,1859.95,943.686,-175.262,-414.463,464.48,235.849,306.707,-1591.95,1589.95,3218.58,2159.8,1742.81,1654.11,102.953,384.543,2472.67,2778.18,2592.87,2266.14,18.5989,686.576,1287.98,830.096,308.66,2655.93,637.629,3397.39
86,87,1975.91,127.572,-1802.84,-3536.54,474.379,452.814,-659.341,-1666.67,2242.6,1626.15,947.503,2856.32,1824.9,-16.6673,1409.7,1782.76,2366.06,1029.46,595.301,-1058.49,1536.15,-516.348,425.739,608.293,2639.75,2196.76,-1108.14
87,88,857.059,1638.61,-184.94,1774.72,407.585,984.467,560.919,-624.175,13.1636,200.917,473.122,1348.3,1576.91,53.3463,525.647,1752.73,1590.64,725.344,349.493,2317.34,486.699,771.033,650.466,582.533,-240.188,408.394,-1182.07
88,89,1126.62,643.916,-1732.38,-827.346,1527.71,20.9045,405.345,458.084,2462.18,-504.288,-268.145,2794.61,2216.53,989.841,1476.38,1994.37,2416.83,841.346,1408.36,2550.55,2510.04,1062.19,2633.75,1683.66,1679.55,479.028,-37.3973
89,90,1622.58,369.995,-1535.14,1911.48,2036.62,2111.92,2707.07,579.418,1479.84,-335.196,455.797,1655.23,1441.44,885.633,398.882,1301.05,2631.58,3317.61,1544.45,-54.4779,2297.19,99.0799,2466.81,2018.63,1043.93,2752.47,-87.6011
90,91,2685.29,-52.5621,-689.183,-1305.53,3419.3,646.797,1248.16,3559.95,2172.82,-266.703,2550.08,1101.51,1929.51,1949.31,1124.05,1498.72,2517.92,1584.08,2024.69,-12.7472,1152.47,1481.34,2883.54,820.649,2915.65,558.179,1351.16
91,92,1554.7,186.267,-262.317,-256.411,377.673,-320.046,524.664,-1957.1,1074.76,1174.26,324.677,1441.12,1557.06,35.5395,569.641,1529.46,1925.04,65.2672,529.297,917.116,-791.259,1127.07,780.254,565.127,173.697,-625.584,-2017.76
92,93,1193.95,1333.93,-960.542,-1396.59,510.626,1795.3,-101.862,-2305.27,-2868.5,1987.75,421.415,1938.83,692.683,954.088,755.609,873.335,1211.64,-230.81,686.538,92.6059,-778.098,932.329,376.501,371.619,-2071.56,1137.08,359.029
93,94,3938.17,3451.9,2768.3,2805.53,357.127,462.112,987.616,1884.82,1102.16,2235.39,498.205,2787.87,1288.13,-65.4241,1082.69,1480.37,3106.92,2791.61,2928.43,2788.51,2390.8,1678.37,767.17,455.993,1765.75,1769.42,770.713
94,95,4248.57,2114.88,3118.34,3151.22,296.261,2583.91,443.784,3798.1,2637.64,2160.73,424.839,2017.27,2635.44,112.996,751.955,1656.34,3241.1,2775.07,804.743,2303.68,1919.09,1456.77,819.605,592.497,3351.14,2111.07,4225.73
95,96,2186.71,468.021,976.803,1125.11,415.999,723.746,756.509,637.197,1120.07,956.342,539.357,1808.0,1864.41,79.8286,417.421,1578.65,2274.18,2424.22,1940.23,645.446,623.003,1701.84,569.592,502.094,2268.14,849.775,-1727.31
96,97,1260.97,860.165,-480.933,-236.985,343.158,494.089,1030.29,-1235.18,88.3811,929.698,705.229,2103.52,1590.72,49.1778,1053.67,1424.8,2106.72,2007.02,-104.057,-338.542,191.148,-27.4687,569.0,502.317,1757.63,1736.58,-2170.65
97,98,2179.84,1840.48,374.332,3457.14,316.518,853.293,1195.41,-485.516,2823.79,373.238,447.667,2643.45,2722.46,168.873,327.562,1738.66,5251.32,5064.72,1935.55,4006.64,2996.95,2730.61,1851.99,451.824,468.75,895.638,2387.9
98,99,2943.43,2596.8,2027.26,2037.18,629.005,601.025,1229.15,3090.1,866.927,752.099,645.718,2945.4,1434.09,22.0192,909.737,1640.49,2402.91,2203.45,2017.6,1950.26,911.018,2406.12,569.819,479.342,2600.65,2000.0,37.5472
99,100,2256.91,1743.65,663.9,1089.54,414.752,618.117,259.555,861.608,289.474,-1014.28,359.271,1367.91,881.316,547.171,754.979,704.071,1796.01,331.71,573.765,1149.33,-1019.9,-1150.61,312.821,362.106,-2000.0,928.937,1630.77
100,101,5131.38,5391.55,4707.08,1977.88,368.247,571.279,2319.18,4875.27,1055.65,2019.72,495.449,2217.07,988.081,86.2206,1042.33,1624.56,4710.11,5259.58,1751.34,985.657,1664.35,4424.97,756.409,619.175,4898.48,1781.07,5819.57
101,102,2452.41,1371.54,480.488,1428.98,345.07,582.28,878.169,3045.81,2648.0,527.849,499.61,3702.32,2734.0,168.56,389.943,2003.84,4869.87,4204.43,3904.34,3156.52,1239.99,3374.43,1761.0,396.005,475.801,706.82,3411.07
102,103,3661.88,764.542,1375.79,3252.56,390.46,3498.41,996.931,4223.87,2410.39,2626.85,797.387,1576.56,2137.69,160.177,477.951,2069.23,2904.09,4075.57,3230.5,3511.59,816.939,1164.37,760.225,348.116,3250.48,861.649,3741.97
