Unnamed: 0,ID,class,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
18,19,water,3417.02,-250.499,,96.0003,574.646,215.314,865.569,378.014,,-353.854,516.577,,2239.79,751.135,651.226,2029.48,2833.62,1011.93,1001.34,,1041.89,1406.69,2224.43,679.548,1427.78,,-291.859
21,22,water,2924.97,1365.73,575.423,651.97,3075.73,1181.1,1623.93,1120.46,2208.17,-1114.86,1509.43,4065.36,3610.15,711.534,1222.15,2075.55,,1740.03,1747.02,2605.55,1394.1,2580.26,,,,2548.11,1779.79
22,23,water,896.552,1901.88,-602.32,-404.227,,-650.27,2580.22,630.957,1148.63,-2429.61,-819.424,3299.41,1267.26,1091.07,1450.66,1847.79,2452.77,105.227,1960.65,-1077.22,,623.234,1732.25,,1025.57,-40.4475,-1035.08
24,25,water,1130.28,2719.82,-880.243,9.86838,1483.8,287.49,131.868,450.036,1679.05,-2186.68,,3140.21,2688.71,1074.57,1478.52,1892.12,2503.25,385.509,1691.43,816.882,2590.98,680.039,3074.13,1979.38,1368.63,,-150.129
28,29,water,2418.2,1276.26,,109.143,811.96,2715.56,3492.79,619.41,3923.73,2473.9,2001.15,3061.15,2421.07,1059.66,757.761,,2646.05,1894.98,2321.08,2222.22,1995.92,969.82,1145.44,2722.89,2812.91,3046.13,1640.07
29,30,water,1815.96,3539.05,-566.926,,1382.05,152.788,609.116,2492.54,1946.4,,149.729,3547.04,2015.72,955.471,,2242.08,2648.08,1214.52,2400.44,-298.92,,722.553,1772.83,,1751.18,1340.7,798.061
33,34,water,6845.18,,6328.26,7045.09,4488.68,7106.89,6872.94,4696.0,6942.02,7298.68,6810.35,978.921,1511.3,,1204.69,1529.26,6261.47,7275.48,3286.1,6898.96,6027.89,6475.41,1271.57,862.623,7113.4,6673.24,7495.44
35,36,water,2338.59,-57.6775,-463.665,1452.73,2077.3,-904.886,-207.509,,3154.29,-2525.25,2846.15,1049.4,1892.84,2491.19,1148.96,1499.18,2394.73,878.057,1477.95,-197.929,721.542,2466.71,1710.39,787.745,3445.78,2884.0,-1061.45
38,39,water,1153.96,-570.342,-553.855,-874.162,393.071,1093.59,,-1969.81,-2588.43,-1100.54,349.766,1545.92,1049.36,638.023,988.633,858.591,,-73.7644,341.048,387.003,,-1085.32,386.388,490.84,-2386.12,871.154,-787.429
40,41,water,539.255,,-2939.74,,459.32,757.849,368.114,-610.65,,440.303,,,726.944,672.64,702.716,,1052.18,-912.863,481.349,173.332,-1470.49,-1445.37,242.5,,-2729.43,,214.753
41,42,water,1954.76,681.991,,850.447,457.188,1065.51,1172.84,-705.423,1612.9,1051.24,375.298,1995.83,1208.24,652.651,1349.48,871.686,1911.21,,208.69,820.25,625.117,-155.039,407.77,566.201,-397.704,1175.06,
44,45,forest,2960.34,4635.05,,3748.65,3766.71,,757.053,1382.63,,,390.089,1812.26,761.545,647.38,849.434,4571.89,,,916.74,,3566.34,312.863,330.529,385.327,3427.25,748.956,2364.75
45,46,forest,5353.6,5883.45,804.784,857.962,4828.96,4111.69,6164.02,5572.59,,6157.55,916.657,1484.33,4527.6,1394.0,668.76,,6319.91,1464.82,4700.57,6964.92,6171.07,552.053,2928.47,524.677,2233.21,671.058,7905.48
46,47,forest,,8048.82,4244.53,935.349,3680.95,6040.46,5658.14,,1856.58,3113.72,1984.6,1884.99,3288.94,1340.14,261.026,,6918.89,2248.95,,7437.29,,1913.56,1507.13,436.801,4517.2,788.748,6233.36
47,48,forest,2636.5,7836.1,5466.18,954.376,4006.4,3399.48,1746.37,,718.419,3890.53,1198.19,2213.97,2266.16,1311.67,322.449,1668.31,7125.33,2169.0,1926.51,7442.36,6232.31,,1331.08,562.103,4751.48,879.334,3443.82
48,49,forest,7581.11,7538.18,6613.74,4241.7,5650.91,1850.0,2045.86,5218.38,1476.27,6839.94,1528.65,2278.78,2189.29,1153.14,321.854,1533.53,6898.31,923.451,4841.5,4026.57,5190.11,2391.03,,509.216,4228.84,,4993.56
49,50,forest,7573.11,7583.17,365.359,4378.09,3865.47,1380.14,3821.81,5833.96,2639.89,6990.38,4781.3,2018.45,1900.19,977.788,360.406,1477.42,6665.65,2616.04,6180.71,3267.07,6117.63,3740.87,2348.72,458.416,5309.89,585.565,2415.22
50,51,forest,6260.37,6870.76,3414.99,701.525,2502.67,3039.21,4237.96,4995.06,1426.2,2153.75,1006.43,1929.81,2815.89,2020.77,311.25,1373.22,,4304.82,839.112,6275.55,,1138.43,4112.17,,2109.48,704.755,7300.13
52,53,forest,7529.73,8006.32,7118.16,,3017.84,1952.36,1329.32,,1002.54,3356.73,826.572,,4136.3,2734.05,429.223,1678.08,5197.65,779.304,1677.82,8004.76,6603.6,787.907,,532.128,,623.595,7542.91
53,54,forest,5437.36,7601.45,3767.97,5480.66,1871.23,5577.09,4924.86,5919.9,5104.75,7900.37,1720.93,1986.14,2018.21,954.652,472.79,1225.64,6634.22,5038.99,4575.67,7336.13,,1924.44,1444.85,469.68,4658.92,620.991,
54,55,forest,7628.93,8041.93,3158.87,609.118,4007.12,6684.92,1406.57,645.656,,5179.11,1053.26,1632.3,5131.53,3106.95,507.904,1709.7,6111.15,1061.7,1515.89,7487.01,6529.51,1390.44,1145.4,511.895,1722.78,658.615,8189.68
55,56,forest,6829.53,7816.21,1075.52,801.239,6607.7,4811.39,1601.78,1413.92,1958.24,4994.43,1394.51,1658.93,5891.55,2971.77,459.837,1552.55,7084.67,4295.56,862.319,7876.16,6756.26,1234.13,,509.918,1395.46,618.768,7646.45
56,57,forest,5720.95,7751.89,5013.91,4678.3,3459.79,,3767.33,5341.22,1941.7,,1614.37,1995.31,,995.85,327.346,1296.27,6728.82,,,7256.09,5894.64,1970.49,1151.48,482.241,4325.94,,4631.15
58,59,forest,,7623.56,4509.23,610.183,5157.56,2004.07,1481.96,6229.53,1157.93,,1418.91,2140.83,1652.12,1776.67,237.754,1706.81,6953.6,1741.55,2394.78,7909.21,,,4826.72,628.283,4834.75,725.952,
59,60,forest,7402.03,8202.56,,1402.04,4002.3,,1837.51,1995.04,874.048,2097.61,676.166,1892.59,3694.74,2829.38,269.308,1659.45,6702.02,2866.69,1114.82,7957.35,6525.18,483.769,1049.52,,5411.1,749.039,7676.76
61,62,forest,7605.32,8000.52,987.466,7247.28,1887.66,5943.45,2521.71,5537.34,3761.52,5084.75,1958.21,2206.25,2960.77,,360.945,1731.14,,4666.18,5009.55,699.021,,3964.57,6547.84,,6281.42,640.089,1659.12
63,64,forest,7573.33,6803.93,4929.96,557.724,5785.49,738.073,1737.77,1068.34,690.461,,,,3411.93,2868.99,445.272,1604.6,1767.13,829.912,5020.92,7595.91,6398.52,508.255,643.738,472.596,6120.82,,4790.63
64,65,forest,,7182.48,6064.36,611.938,6263.9,,1366.87,1609.57,940.642,1006.17,1036.77,1830.7,,2847.06,323.202,1753.58,7253.53,2809.3,856.914,7792.57,6158.88,,1525.4,593.813,4517.69,,
65,66,forest,7303.76,7054.7,5802.03,5904.72,2504.96,2546.32,1288.42,,598.458,3346.57,3145.56,2281.72,1306.41,1267.37,288.939,1448.02,6487.36,886.647,5812.38,4393.71,,1815.91,2054.7,598.357,6726.39,781.606,2034.7
67,68,forest,7901.28,7727.11,2823.94,5218.9,5390.88,,2036.29,913.288,,3919.53,1923.47,1557.03,5112.93,1863.26,290.738,1581.58,6144.3,3347.37,6206.25,5333.26,6767.0,522.844,992.922,595.0,7418.2,806.275,
68,69,forest,7767.9,8050.76,6626.93,3813.87,1935.35,5365.8,1452.78,4488.31,686.76,,,2203.31,2268.88,1418.72,,1623.61,,4823.51,6260.87,2358.25,6021.28,1010.09,4460.04,537.405,7431.37,765.464,2258.54
69,70,forest,4357.0,8090.44,7319.82,877.478,2133.17,6215.15,3668.85,5569.04,732.13,1065.28,875.842,,2807.1,,431.286,1561.03,7255.72,2643.96,874.757,7688.88,6221.33,1601.17,1144.81,,2578.31,947.044,7014.46
70,71,forest,6286.57,7950.63,2305.18,,7006.26,2279.97,2223.95,5333.45,3781.31,,1700.22,2264.86,2045.26,1064.9,366.86,1461.81,,956.882,5842.28,2239.95,6088.18,2413.4,3018.3,518.601,3655.51,662.255,6209.1
71,72,forest,7190.42,2375.89,3781.54,4763.19,1191.39,4453.6,,2769.64,,1231.23,5409.66,2015.33,,1393.34,294.658,1423.79,,5131.79,4707.84,4521.03,6060.44,730.415,1671.39,891.291,,661.502,1455.22
72,73,forest,7804.18,,,3008.33,1657.36,,1166.97,6013.3,744.254,5978.17,,1935.58,3774.61,,,1716.65,,4620.67,4863.53,2545.61,6562.56,2190.38,,559.568,7188.08,695.566,
73,74,forest,7659.08,8128.95,1184.0,,3684.04,3307.6,1697.76,5643.67,2094.44,7643.73,1408.29,2148.79,1556.89,1215.02,368.921,1535.61,6860.74,1488.96,5981.5,2005.61,6570.11,,5652.51,502.76,5462.61,641.694,4404.83
75,76,forest,6941.25,7785.49,1996.34,649.892,3675.67,4419.27,,3572.73,980.796,928.24,1084.72,,2531.28,,280.21,1584.03,7107.77,3013.96,931.073,7514.94,,1384.7,,614.069,2807.2,808.554,8147.48
76,77,forest,5385.12,,7078.32,,1438.15,,3845.62,5765.64,1403.26,1225.27,6088.18,2015.39,2473.44,,289.597,1260.28,6561.58,1101.32,3297.44,4202.92,6099.68,1017.86,1025.86,866.181,7416.85,743.624,2979.85
77,78,forest,2865.07,7824.58,,567.609,4305.36,2583.54,1915.44,,1038.75,748.055,935.315,2001.06,2377.04,,298.816,1639.72,6954.44,4109.19,1247.17,7646.95,6320.94,1885.33,,634.793,4401.7,910.608,7679.12
78,79,forest,6832.63,7861.76,6800.99,3182.7,,1982.83,2593.12,5833.76,1363.0,1452.49,2223.53,2003.38,2372.49,,,1394.04,6812.76,937.612,5637.72,4614.12,5972.52,2305.05,3917.55,390.372,4594.28,728.916,3471.31
79,80,forest,6447.14,7581.96,5080.74,576.475,4738.38,3904.0,2190.86,2471.3,,852.353,1182.79,1977.15,2702.91,3268.08,237.093,1702.38,6893.22,1746.01,747.326,7755.16,6043.1,1797.05,1496.23,,4304.2,796.066,
81,82,forest,5974.31,7830.67,941.758,869.891,5089.05,4346.05,4594.4,7486.96,2006.37,4011.62,1687.25,1483.5,5527.72,1152.22,638.122,,6406.4,1712.67,4724.96,6966.97,5512.12,467.282,1629.23,464.469,,673.629,4035.8
82,83,forest,7610.43,8021.19,,1085.33,6804.43,,1414.39,906.236,1468.07,7915.48,1065.61,1680.1,6144.05,,470.324,1674.44,7228.0,2086.09,992.622,7829.6,6896.38,1482.19,3352.58,,696.914,646.281,8007.96
83,84,forest,6765.15,2390.57,2537.54,,1079.86,2000.95,1139.64,4842.29,1077.72,825.439,5899.33,2123.6,3169.68,1239.67,308.587,1291.24,6992.69,,6319.13,5438.98,,,1553.32,779.763,7550.35,759.433,2056.99
85,86,forest,7807.42,8105.69,341.557,5955.72,4137.78,951.588,5638.38,,5548.83,8226.33,3387.2,2004.18,2218.6,849.125,370.26,1361.43,7041.58,4382.48,6591.63,3700.48,,1857.37,,,5142.45,574.713,3036.34
86,87,forest,5912.87,6727.26,3817.06,4710.44,1408.96,1007.41,2808.32,4443.95,,,5368.45,2415.08,1431.62,1221.63,239.525,1276.42,5970.12,885.741,5796.64,4039.54,5384.09,739.7,1022.95,769.768,6495.1,765.515,2033.3
87,88,forest,6548.75,6620.81,1028.59,671.289,5188.25,4676.99,6270.88,7060.76,3485.82,5281.23,1082.06,1426.34,5225.69,1441.64,839.474,1172.91,,4298.57,4020.29,,5163.98,627.556,3750.52,453.506,5158.51,706.586,6958.22
88,89,forest,7622.85,7835.46,6487.56,2897.02,3701.49,5934.57,1161.48,5949.41,1090.49,6360.88,2262.67,2038.81,2188.04,1561.6,,1816.99,,4403.09,6307.66,1077.3,6459.9,1616.57,5703.27,520.603,7350.56,683.956,2042.93
89,90,forest,5678.09,1483.8,1557.8,7353.25,1133.96,2563.92,1063.41,5273.95,1667.57,,5702.73,1926.11,3338.8,1262.76,312.912,1373.21,6830.32,4282.39,5746.0,3719.02,5746.56,797.784,1329.74,,,730.683,1310.83
90,91,forest,4076.82,7656.87,5080.23,1121.65,4169.77,3854.14,,2036.18,684.86,3821.79,1783.94,2105.88,2054.64,1621.83,351.028,1792.18,6843.81,3373.29,2126.06,6929.64,,847.912,3363.3,602.393,5522.44,762.034,3649.64
92,93,forest,6611.77,7708.86,5936.49,,5510.08,5503.6,2175.0,4520.59,1052.33,5541.81,4321.68,2107.78,,1343.22,311.108,1704.63,,899.487,5224.42,6488.05,5842.58,1969.37,5648.11,521.462,6295.34,712.089,3774.92
94,95,forest,,7977.87,354.443,,2898.92,6805.68,5456.53,5845.52,3110.17,7771.19,2426.83,1935.8,2777.41,854.043,338.548,1514.67,,4723.25,6364.95,1031.57,6378.85,3756.85,3556.98,490.201,5719.16,623.34,1613.5
95,96,forest,7696.76,7553.37,3581.89,5573.53,2097.91,,1470.48,405.555,1011.78,6670.36,3941.4,,,,253.743,1607.79,7022.65,1051.28,6263.68,,5708.03,439.398,1779.24,550.736,7083.81,692.221,7596.81
96,97,forest,6685.5,7645.68,6482.55,498.316,5119.32,1446.08,1616.93,,788.914,5686.14,1324.54,1801.73,3732.23,2281.97,313.739,1635.52,5371.31,979.044,1034.72,7989.17,6756.76,413.401,2825.84,549.784,5520.76,,7987.47
97,98,forest,7398.22,7339.42,3437.54,,4480.13,1483.46,,2423.26,794.659,4955.34,5495.15,2702.25,1078.8,1532.95,243.896,1376.17,6695.57,702.017,6031.07,5213.68,,1529.54,3552.18,690.947,,718.88,2266.68
98,99,forest,,2175.66,2723.79,5963.37,982.329,1525.59,,5454.15,1693.5,,6033.12,,3349.52,1061.71,321.508,1249.33,7009.97,2635.14,6229.33,5667.43,6101.39,,,827.821,6966.38,704.442,3208.84
99,100,forest,7963.69,7971.78,4422.02,7670.17,1900.25,486.088,1331.98,574.207,939.246,6115.23,4319.72,,,1375.25,300.557,1704.93,7169.92,,6547.56,5240.14,6541.68,518.754,3345.79,636.343,,713.167,7416.65
100,101,forest,5576.94,,883.894,5562.39,2034.45,2385.67,4331.44,6854.29,3873.45,,1889.5,,1623.74,919.407,,1206.39,6745.38,5157.96,4964.06,5101.43,6119.89,1371.55,729.286,,5157.03,595.435,5033.32
102,103,forest,7384.51,7358.54,3834.67,890.551,4221.42,856.441,2544.8,587.907,802.196,7321.94,1529.91,1705.82,4523.93,,332.042,1556.25,1600.1,1297.85,4529.55,6702.07,6166.13,488.62,726.304,595.491,4249.17,785.047,7071.48
103,104,forest,5309.45,4080.72,3781.91,,4713.2,4822.75,4378.81,,4422.05,5256.24,756.413,5724.56,4294.92,5652.53,5572.16,496.352,2608.75,720.51,4166.07,3765.84,4064.91,1881.88,1968.81,466.992,3997.25,4432.92,495.1
104,105,water,-433.735,-1738.03,-591.091,-1470.53,,-1418.93,-1106.76,613.187,-2323.0,-1447.72,305.587,227.994,349.229,457.158,128.519,-1137.17,,-2683.6,-241.064,-1576.27,-1143.65,341.628,298.632,442.239,-2173.33,,-1767.57
105,106,water,6688.0,6723.54,733.29,6242.51,6003.6,6256.72,480.382,,,6220.51,2520.0,3318.82,1351.62,7004.33,475.238,3240.54,,,3790.08,,2815.47,434.099,858.583,450.054,5758.01,2470.64,1407.25
108,109,water,1250.4,,-154.48,1460.7,395.143,896.299,445.138,-1845.43,684.101,-1647.81,789.609,1215.29,1275.88,68.5017,634.349,1524.43,1545.07,-323.536,131.839,791.486,-1232.72,1327.5,,554.601,-215.311,552.97,-2692.67
109,110,water,1094.7,1732.73,-189.497,-250.719,474.522,,968.349,-1413.52,,1157.54,485.169,,1592.24,24.0405,965.721,1627.49,1885.25,1261.56,915.48,-2435.9,-896.841,-1149.31,646.799,515.069,,,-2590.82
110,111,water,1384.51,1445.89,,1612.88,285.496,1818.4,-805.709,,1531.0,,564.922,1772.0,2130.74,83.4892,482.446,1572.29,,2588.13,1698.08,1052.43,-689.592,1589.96,967.248,402.738,,1138.47,-1841.36
111,112,water,1638.91,56.3473,-1452.46,-62.0259,558.901,393.831,-848.485,-2014.52,,1081.26,1451.32,2210.67,1635.74,-62.948,,1496.14,2123.09,333.741,885.924,,,-1219.62,530.401,512.771,1003.55,-627.027,-2246.34
113,114,water,1207.81,140.416,-408.568,780.962,344.673,768.365,582.551,-983.659,797.533,963.212,735.453,1365.68,1563.2,70.5863,520.464,1532.46,1663.81,-98.4924,163.758,947.682,-1111.54,935.099,405.074,,-144.31,796.111,-2629.5
114,115,water,5117.33,2695.5,4665.07,4531.16,475.004,5610.4,414.354,,2180.7,641.231,372.143,1918.88,1656.36,119.694,335.374,1893.7,4753.02,4988.98,,4544.44,2090.09,488.613,782.028,329.423,5105.01,995.054,5253.02
115,116,water,1090.17,143.24,-296.57,-1597.25,408.745,466.547,782.902,-2035.4,737.621,688.055,594.149,1263.13,1537.61,117.324,1087.68,1712.97,1662.68,-376.749,-189.594,-1576.95,-1505.78,,486.383,596.34,706.134,-167.825,-2746.69
118,119,water,,70.5189,-657.21,-101.464,487.532,,,-2076.64,-664.452,,543.401,1519.62,1446.85,47.7176,-290.428,1525.62,1601.06,-20.9864,1744.27,-782.734,-1330.25,-565.904,546.325,546.5,,857.336,-2689.03
119,120,water,5643.72,2168.83,5398.23,3680.9,426.252,2840.61,1422.64,3792.69,1963.64,1311.82,864.551,1441.63,2415.48,137.65,,2087.56,,4277.76,4135.92,3491.9,1225.29,804.462,1701.43,387.13,1745.57,901.057,5139.58
120,121,water,2228.7,263.131,-420.783,2177.52,530.676,-37.2174,398.951,-1128.4,-1438.73,1051.63,332.548,2363.05,1249.47,,638.662,1509.06,2488.96,974.848,,-1007.83,,408.294,1500.11,369.47,2670.95,1207.47,535.385
123,124,water,4216.9,,4014.59,2977.59,339.453,561.309,676.99,3256.78,2567.75,372.467,393.612,2771.36,2509.82,,,1819.71,5489.16,6243.55,6022.67,2384.26,2972.19,3099.05,1808.47,442.616,1635.5,791.657,3715.93
124,125,water,1118.82,-64.7996,-487.983,,619.401,653.3,,-1867.76,-442.594,230.434,737.901,2612.61,1395.36,-67.4962,,1609.42,2503.14,2741.27,2578.72,1867.52,,8.94097,652.804,,2663.0,926.008,
125,126,water,1991.54,,744.681,228.433,367.158,423.645,,-371.757,330.112,780.502,594.906,1274.2,,86.4681,643.221,1550.2,,2137.19,1662.3,261.561,,715.47,,573.646,700.417,-176.797,-1530.41
131,132,water,1024.48,-348.008,-188.717,,338.663,461.192,-994.408,-1127.18,-1886.29,987.906,642.856,1738.12,1527.2,5.0497,1052.49,1448.19,1775.01,-151.484,813.654,-248.885,,-444.901,428.044,536.602,749.228,688.222,-2432.7
132,133,water,1272.78,,-241.282,825.381,408.089,-534.194,519.926,-1724.61,414.875,812.154,343.498,,1479.68,64.7151,649.753,1715.3,1610.82,763.86,491.951,-1832.2,-564.471,,697.387,536.107,,257.386,
133,134,water,1168.63,673.705,-49.6542,58.9218,460.545,461.904,-804.716,-1769.85,-231.373,1243.55,1074.85,,1681.27,-10.5631,,1491.57,2183.95,1076.0,1544.32,-321.713,2162.29,-48.0997,477.546,592.632,1194.63,1745.07,-2414.79
135,136,water,5189.64,,5387.88,4906.45,444.88,744.792,782.387,,,812.225,372.626,1894.12,2283.3,43.231,697.158,1598.01,,5001.26,3863.4,3030.74,4389.28,1105.57,695.59,,4613.08,1582.76,5255.9
141,142,water,1980.11,57.3228,-1300.3,-724.269,457.227,-350.599,440.626,605.778,1338.83,735.25,391.428,1356.36,1307.31,81.5287,,1754.77,2232.45,2788.13,596.043,1519.77,,562.053,,350.469,1581.27,-110.1,1551.11
142,143,water,3217.43,2557.87,3033.41,2123.68,472.998,321.04,436.43,-33.9671,1348.77,1478.81,338.259,1511.52,1115.96,96.6504,537.243,1890.96,3056.81,2935.86,2206.61,4146.06,624.077,488.575,1151.57,,2141.05,,2665.59
144,145,water,1108.96,30.8544,,-111.412,402.36,494.24,-1202.71,-2202.53,842.89,-1732.22,646.157,1433.53,1500.34,,887.386,1621.42,,-278.068,1322.05,-182.961,-1313.34,-424.441,410.5,618.933,-342.342,-482.732,-2764.27
148,149,water,4195.8,1654.87,3631.29,4061.85,453.826,625.825,753.058,3126.62,,918.439,424.036,,1507.89,,740.093,1606.39,2324.5,4666.99,4255.87,,,,714.89,533.671,3048.12,,3548.17
149,150,water,2290.69,2363.21,,430.202,464.687,482.695,1246.21,-1632.86,885.868,-346.587,587.806,,1422.52,40.3351,1354.42,1728.33,2254.63,2413.92,1592.85,,1755.73,1238.61,488.196,645.425,1742.13,981.373,-4145.25
150,151,water,950.408,129.634,-310.221,-59.9971,649.373,805.873,980.608,-1906.01,-3015.63,1208.05,726.647,1698.57,1760.8,339.23,1239.69,1442.11,,1410.28,2018.33,,,2168.36,621.667,515.363,1987.73,1103.03,-2569.59
152,153,water,,1719.61,-379.091,-13.0151,379.797,1180.11,466.403,-827.068,402.562,-2112.12,513.32,1302.68,1299.2,68.0508,563.68,1662.72,1485.01,-326.422,1721.66,620.308,-1468.61,1289.31,501.909,,-392.939,541.794,-2185.82
153,154,water,1228.3,1089.39,,,459.981,1088.53,421.642,-1697.99,548.023,924.164,379.778,1396.22,1594.96,79.682,726.442,,1586.48,-163.087,433.034,-1903.32,-1418.6,871.645,,562.022,,528.684,-1241.33
155,156,water,1458.25,154.784,-307.153,-228.277,360.564,-445.797,512.636,-1965.81,918.254,1099.98,326.856,1608.24,1777.09,53.5097,617.85,1611.63,1938.22,104.554,381.356,-518.792,,819.758,,,109.709,672.526,-1820.43
160,161,water,1341.32,624.366,-104.279,,366.41,1200.96,619.303,204.882,748.409,737.406,428.91,,1468.12,53.0149,699.605,1785.42,2073.35,1996.21,1294.25,321.987,26.4408,560.153,703.305,552.789,393.126,-298.079,-1022.35
163,164,water,1637.48,,-164.471,-14.6776,434.146,-175.478,999.213,-1011.66,1387.16,1913.43,701.355,,1726.12,136.153,,1897.84,2392.65,842.333,905.507,-678.28,594.472,1044.18,982.824,,2536.56,849.687,914.143
164,165,water,1555.42,1688.92,-148.529,-387.854,529.6,,921.064,-1323.06,-523.771,2079.65,1502.92,1731.59,1936.46,111.234,341.741,1968.92,2255.77,1054.97,882.231,,687.021,1128.51,1203.28,344.728,1500.05,813.982,417.675
166,167,water,,,5647.15,6431.75,597.743,393.538,3504.56,6819.6,2839.87,849.337,865.606,,1664.56,18.0993,2134.22,1536.39,4229.19,6421.4,751.401,6982.87,3945.17,6552.31,404.156,540.258,5103.67,5140.92,6512.58
167,168,water,6875.48,,6544.62,928.921,446.342,446.517,1454.89,4580.81,1926.87,5494.69,,1535.72,1057.27,,1421.5,1437.02,,6282.75,811.49,4426.52,4117.58,5830.28,1024.12,605.553,3958.92,1828.79,6795.96
168,169,water,6444.17,6604.57,,6710.82,381.008,1121.64,3231.83,7113.4,973.142,6322.64,2208.59,3421.17,1319.89,47.1677,,1435.23,4968.76,6567.96,334.397,5963.92,,,1157.25,,4059.69,2625.58,5911.41
169,170,water,1026.93,-146.032,-233.658,-90.7828,532.785,,1285.2,1564.43,-116.372,1306.13,486.378,1804.75,1495.58,30.5894,958.261,1552.63,2097.27,235.199,405.99,-661.071,1643.32,-1188.85,797.132,502.195,1260.14,483.769,-2384.9
170,171,water,1025.42,56.0133,-302.295,-100.204,496.637,402.52,1094.78,,-1132.84,1120.66,560.239,,,30.0115,1024.33,1486.15,,-195.923,817.162,-296.257,79.2969,-1163.29,595.084,,,988.703,
171,172,water,1632.55,354.388,-237.125,1507.53,312.951,211.512,592.627,-1522.95,1090.63,356.262,358.89,1711.46,1365.22,40.912,571.641,1502.53,2326.4,609.715,703.699,1174.83,-380.474,1182.87,503.343,502.382,168.846,1272.89,-1683.25
176,177,water,1102.42,278.377,-495.236,141.991,,550.32,991.343,-1943.93,-804.541,1870.07,839.824,3113.94,1595.72,102.372,1654.86,1456.04,,1735.08,2188.59,1249.91,1107.23,531.042,484.829,567.489,2090.74,2323.44,-1659.45
177,178,water,2246.75,2365.03,,117.023,455.676,288.704,416.526,-1083.4,1629.12,-1008.49,375.813,1611.7,1446.27,168.433,389.302,2078.94,2716.74,2712.9,1675.78,-1.84813,34.4564,583.232,1074.32,331.196,664.459,1122.94,2081.79
179,180,water,1373.48,-14.4011,-99.9716,-909.091,441.951,-1339.95,794.61,-1684.47,1012.76,777.348,575.423,1130.21,1500.39,75.746,386.288,1622.36,,1215.56,544.924,,-564.721,528.065,1009.7,468.191,2075.14,-1314.41,-2033.9
182,183,water,2033.82,-33.681,1284.53,562.929,417.138,495.446,1115.31,1970.59,-741.919,985.543,490.843,2062.45,1398.83,22.3171,862.608,1648.25,2364.07,2147.32,2037.05,1759.22,1930.91,754.153,855.796,,1178.91,603.732,-2179.28
